Study,N,var1,var2,ri
32,159,L2G,L2P,NA
32,159,L2G,L2M,NA
32,159,L2G,L2L,0.65
32,159,L2P,L2M,NA
32,159,L2P,L2L,NA
32,159,L2M,L2L,NA
33,140,L2R,L2DA,0.33
33,140,L2R,L2DF,0.37
33,140,L2R,L2V,NA
33,140,L2R,L2G,NA
33,140,L2R,L2P,NA
33,140,L2R,L2M,NA
33,140,L2R,L2L,NA
33,140,L2DA,L2DF,0.79
33,140,L2DA,L2V,NA
33,140,L2DA,L2G,NA
33,140,L2DA,L2P,NA
33,140,L2DA,L2M,NA
33,140,L2DA,L2L,NA
33,140,L2DF,L2V,NA
33,140,L2DF,L2G,NA
33,140,L2DF,L2P,NA
33,140,L2DF,L2M,NA
33,140,L2DF,L2L,NA
33,140,L2V,L2G,NA
33,140,L2V,L2P,NA
33,140,L2V,L2M,NA
33,140,L2V,L2L,NA
33,140,L2G,L2P,NA
33,140,L2G,L2M,NA
33,140,L2G,L2L,NA
33,140,L2P,L2M,NA
33,140,L2P,L2L,NA
33,140,L2M,L2L,NA
34,188,L2R,L2DA,0.34
34,188,L2R,L2DF,NA
34,188,L2R,L2V,0.5
34,188,L2R,L2G,NA
34,188,L2R,L2P,NA
34,188,L2R,L2M,0.48
34,188,L2R,L2L,0.53
34,188,L2DA,L2DF,NA
34,188,L2DA,L2V,0.39
34,188,L2DA,L2G,NA
34,188,L2DA,L2P,NA
34,188,L2DA,L2M,0.37
34,188,L2DA,L2L,0.38
34,188,L2DF,L2V,NA
34,188,L2DF,L2G,NA
34,188,L2DF,L2P,NA
34,188,L2DF,L2M,NA
34,188,L2DF,L2L,NA
34,188,L2V,L2G,NA
34,188,L2V,L2P,NA
34,188,L2V,L2M,0.63
34,188,L2V,L2L,0.56
34,188,L2G,L2P,NA
34,188,L2G,L2M,NA
34,188,L2G,L2L,NA
34,188,L2P,L2M,NA
34,188,L2P,L2L,NA
34,188,L2M,L2L,0.53
35,255,L2R,L2DA,NA
35,255,L2R,L2DF,0.28
35,255,L2R,L2V,0.47
35,255,L2R,L2G,0.59
35,255,L2R,L2P,NA
35,255,L2R,L2M,0.47
35,255,L2R,L2L,0.44
35,255,L2DA,L2DF,NA
35,255,L2DA,L2V,NA
35,255,L2DA,L2G,NA
35,255,L2DA,L2P,NA
35,255,L2DA,L2M,NA
35,255,L2DA,L2L,NA
35,255,L2DF,L2V,0.34
35,255,L2DF,L2G,0.32
35,255,L2DF,L2P,NA
35,255,L2DF,L2M,0.35
35,255,L2DF,L2L,0.39
35,255,L2V,L2G,0.46
35,255,L2V,L2P,NA
35,255,L2V,L2M,0.56
35,255,L2V,L2L,0.52
35,255,L2G,L2P,NA
35,255,L2G,L2M,0.59
35,255,L2G,L2L,0.54
35,255,L2P,L2M,NA
35,255,L2P,L2L,NA
35,255,L2M,L2L,0.51
36,94,L2R,L2DA,0.8
36,94,L2R,L2DF,0.8
36,94,L2R,L2V,0.86
36,94,L2R,L2G,NA
36,94,L2R,L2P,NA
36,94,L2R,L2M,NA
36,94,L2R,L2L,NA
36,94,L2DA,L2DF,0.7
36,94,L2DA,L2V,0.78
36,94,L2DA,L2G,NA
36,94,L2DA,L2P,NA
36,94,L2DA,L2M,NA
36,94,L2DA,L2L,NA
36,94,L2DF,L2V,0.78
36,94,L2DF,L2G,NA
36,94,L2DF,L2P,NA
36,94,L2DF,L2M,NA
36,94,L2DF,L2L,NA
36,94,L2V,L2G,NA
36,94,L2V,L2P,NA
36,94,L2V,L2M,NA
36,94,L2V,L2L,NA
36,94,L2G,L2P,NA
36,94,L2G,L2M,NA
36,94,L2G,L2L,NA
36,94,L2P,L2M,NA
36,94,L2P,L2L,NA
36,94,L2M,L2L,NA
37,200,L2R,L2DA,NA
37,200,L2R,L2DF,0.23
37,200,L2R,L2V,NA
37,200,L2R,L2G,NA
37,200,L2R,L2P,NA
37,200,L2R,L2M,NA
37,200,L2R,L2L,NA
37,200,L2DA,L2DF,NA
37,200,L2DA,L2V,NA
37,200,L2DA,L2G,NA
37,200,L2DA,L2P,NA
37,200,L2DA,L2M,NA
37,200,L2DA,L2L,NA
37,200,L2DF,L2V,NA
37,200,L2DF,L2G,NA
37,200,L2DF,L2P,NA
37,200,L2DF,L2M,NA
37,200,L2DF,L2L,NA
37,200,L2V,L2G,NA
37,200,L2V,L2P,NA
37,200,L2V,L2M,NA
37,200,L2V,L2L,NA
37,200,L2G,L2P,NA
37,200,L2G,L2M,NA
37,200,L2G,L2L,NA
37,200,L2P,L2M,NA
37,200,L2P,L2L,NA
37,200,L2M,L2L,NA
38,64,L2R,L2DA,0.47
38,64,L2R,L2DF,NA
38,64,L2R,L2V,NA
38,64,L2R,L2G,NA
38,64,L2R,L2P,NA
38,64,L2R,L2M,NA
38,64,L2R,L2L,NA
38,64,L2DA,L2DF,NA
38,64,L2DA,L2V,NA
38,64,L2DA,L2G,NA
38,64,L2DA,L2P,NA
38,64,L2DA,L2M,NA
38,64,L2DA,L2L,NA
38,64,L2DF,L2V,NA
38,64,L2DF,L2G,NA
38,64,L2DF,L2P,NA
38,64,L2DF,L2M,NA
38,64,L2DF,L2L,NA
38,64,L2V,L2G,NA
38,64,L2V,L2P,NA
38,64,L2V,L2M,NA
38,64,L2V,L2L,NA
38,64,L2G,L2P,NA
38,64,L2G,L2M,NA
38,64,L2G,L2L,NA
38,64,L2P,L2M,NA
38,64,L2P,L2L,NA
38,64,L2M,L2L,NA
39,46,L2R,L2DA,NA
39,46,L2R,L2DF,NA
39,46,L2R,L2V,0.9
39,46,L2R,L2G,0.23
39,46,L2R,L2P,NA
39,46,L2R,L2M,NA
39,46,L2R,L2L,NA
39,46,L2DA,L2DF,NA
39,46,L2DA,L2V,NA
39,46,L2DA,L2G,NA
39,46,L2DA,L2P,NA
39,46,L2DA,L2M,NA
39,46,L2DA,L2L,NA
39,46,L2DF,L2V,NA
39,46,L2DF,L2G,NA
39,46,L2DF,L2P,NA
39,46,L2DF,L2M,NA
39,46,L2DF,L2L,NA
39,46,L2V,L2G,0.25
39,46,L2V,L2P,NA
39,46,L2V,L2M,NA
39,46,L2V,L2L,NA
39,46,L2G,L2P,NA
39,46,L2G,L2M,NA
39,46,L2G,L2L,NA
39,46,L2P,L2M,NA
39,46,L2P,L2L,NA
39,46,L2M,L2L,NA
40,87,L2R,L2DA,0.34
40,87,L2R,L2DF,0.33
40,87,L2R,L2V,0.53
40,87,L2R,L2G,NA
40,87,L2R,L2P,0.28
40,87,L2R,L2M,0.48
40,87,L2R,L2L,NA
40,87,L2DA,L2DF,0.57
40,87,L2DA,L2V,0.4
40,87,L2DA,L2G,NA
40,87,L2DA,L2P,0.28
40,87,L2DA,L2M,0.53
40,87,L2DA,L2L,NA
40,87,L2DF,L2V,0.25
40,87,L2DF,L2G,NA
40,87,L2DF,L2P,0.26
40,87,L2DF,L2M,0.37
40,87,L2DF,L2L,NA
40,87,L2V,L2G,NA
40,87,L2V,L2P,0.16
40,87,L2V,L2M,0.53
40,87,L2V,L2L,NA
40,87,L2G,L2P,NA
40,87,L2G,L2M,NA
40,87,L2G,L2L,NA
40,87,L2P,L2M,0.36
40,87,L2P,L2L,NA
40,87,L2M,L2L,NA
41,93,L2R,L2DA,0.54
41,93,L2R,L2DF,NA
41,93,L2R,L2V,0.41
41,93,L2R,L2G,NA
41,93,L2R,L2P,0.32
41,93,L2R,L2M,NA
41,93,L2R,L2L,0.35
41,93,L2DA,L2DF,NA
41,93,L2DA,L2V,0.57
41,93,L2DA,L2G,NA
41,93,L2DA,L2P,0.5
41,93,L2DA,L2M,NA
41,93,L2DA,L2L,0.29
41,93,L2DF,L2V,NA
41,93,L2DF,L2G,NA
41,93,L2DF,L2P,NA
41,93,L2DF,L2M,NA
41,93,L2DF,L2L,NA
41,93,L2V,L2G,NA
41,93,L2V,L2P,0.41
41,93,L2V,L2M,NA
41,93,L2V,L2L,0.68
41,93,L2G,L2P,NA
41,93,L2G,L2M,NA
41,93,L2G,L2L,NA
41,93,L2P,L2M,NA
41,93,L2P,L2L,0.24
41,93,L2M,L2L,NA
42,150,L2R,L2DA,NA
42,150,L2R,L2DF,NA
42,150,L2R,L2V,0.42
42,150,L2R,L2G,NA
42,150,L2R,L2P,NA
42,150,L2R,L2M,NA
42,150,L2R,L2L,NA
42,150,L2DA,L2DF,NA
42,150,L2DA,L2V,NA
42,150,L2DA,L2G,NA
42,150,L2DA,L2P,NA
42,150,L2DA,L2M,NA
42,150,L2DA,L2L,NA
42,150,L2DF,L2V,NA
42,150,L2DF,L2G,NA
42,150,L2DF,L2P,NA
42,150,L2DF,L2M,NA
42,150,L2DF,L2L,NA
42,150,L2V,L2G,NA
42,150,L2V,L2P,NA
42,150,L2V,L2M,NA
42,150,L2V,L2L,NA
42,150,L2G,L2P,NA
42,150,L2G,L2M,NA
42,150,L2G,L2L,NA
42,150,L2P,L2M,NA
42,150,L2P,L2L,NA
42,150,L2M,L2L,NA
43,58,L2R,L2DA,NA
43,58,L2R,L2DF,NA
43,58,L2R,L2V,0.48
43,58,L2R,L2G,NA
43,58,L2R,L2P,NA
43,58,L2R,L2M,NA
43,58,L2R,L2L,NA
43,58,L2DA,L2DF,NA
43,58,L2DA,L2V,NA
43,58,L2DA,L2G,NA
43,58,L2DA,L2P,NA
43,58,L2DA,L2M,NA
43,58,L2DA,L2L,NA
43,58,L2DF,L2V,NA
43,58,L2DF,L2G,NA
43,58,L2DF,L2P,NA
43,58,L2DF,L2M,NA
43,58,L2DF,L2L,NA
43,58,L2V,L2G,NA
43,58,L2V,L2P,NA
43,58,L2V,L2M,NA
43,58,L2V,L2L,NA
43,58,L2G,L2P,NA
43,58,L2G,L2M,NA
43,58,L2G,L2L,NA
43,58,L2P,L2M,NA
43,58,L2P,L2L,NA
43,58,L2M,L2L,NA
44,20,L2R,L2DA,0.33
44,20,L2R,L2DF,NA
44,20,L2R,L2V,NA
44,20,L2R,L2G,NA
44,20,L2R,L2P,0.38
44,20,L2R,L2M,NA
44,20,L2R,L2L,NA
44,20,L2DA,L2DF,NA
44,20,L2DA,L2V,NA
44,20,L2DA,L2G,NA
44,20,L2DA,L2P,0.71
44,20,L2DA,L2M,NA
44,20,L2DA,L2L,NA
44,20,L2DF,L2V,NA
44,20,L2DF,L2G,NA
44,20,L2DF,L2P,NA
44,20,L2DF,L2M,NA
44,20,L2DF,L2L,NA
44,20,L2V,L2G,NA
44,20,L2V,L2P,NA
44,20,L2V,L2M,NA
44,20,L2V,L2L,NA
44,20,L2G,L2P,NA
44,20,L2G,L2M,NA
44,20,L2G,L2L,NA
44,20,L2P,L2M,NA
44,20,L2P,L2L,NA
44,20,L2M,L2L,NA
45,20,L2R,L2DA,0.68
45,20,L2R,L2DF,NA
45,20,L2R,L2V,NA
45,20,L2R,L2G,NA
45,20,L2R,L2P,0.51
45,20,L2R,L2M,NA
45,20,L2R,L2L,NA
45,20,L2DA,L2DF,NA
45,20,L2DA,L2V,NA
45,20,L2DA,L2G,NA
45,20,L2DA,L2P,0.47
45,20,L2DA,L2M,NA
45,20,L2DA,L2L,NA
45,20,L2DF,L2V,NA
45,20,L2DF,L2G,NA
45,20,L2DF,L2P,NA
45,20,L2DF,L2M,NA
45,20,L2DF,L2L,NA
45,20,L2V,L2G,NA
45,20,L2V,L2P,NA
45,20,L2V,L2M,NA
45,20,L2V,L2L,NA
45,20,L2G,L2P,NA
45,20,L2G,L2M,NA
45,20,L2G,L2L,NA
45,20,L2P,L2M,NA
45,20,L2P,L2L,NA
45,20,L2M,L2L,NA
46,46,L2R,L2DA,0.76
46,46,L2R,L2DF,NA
46,46,L2R,L2V,0.48
46,46,L2R,L2G,NA
46,46,L2R,L2P,0.47
46,46,L2R,L2M,0.48
46,46,L2R,L2L,NA
46,46,L2DA,L2DF,NA
46,46,L2DA,L2V,0.44
46,46,L2DA,L2G,NA
46,46,L2DA,L2P,0.72
46,46,L2DA,L2M,0.56
46,46,L2DA,L2L,NA
46,46,L2DF,L2V,NA
46,46,L2DF,L2G,NA
46,46,L2DF,L2P,NA
46,46,L2DF,L2M,NA
46,46,L2DF,L2L,NA
46,46,L2V,L2G,NA
46,46,L2V,L2P,0.45
46,46,L2V,L2M,0.58
46,46,L2V,L2L,NA
46,46,L2G,L2P,NA
46,46,L2G,L2M,NA
46,46,L2G,L2L,NA
46,46,L2P,L2M,0.61
46,46,L2P,L2L,NA
46,46,L2M,L2L,NA
47,34,L2R,L2DA,0.89
47,34,L2R,L2DF,NA
47,34,L2R,L2V,0.42
47,34,L2R,L2G,NA
47,34,L2R,L2P,0.66
47,34,L2R,L2M,0.6
47,34,L2R,L2L,NA
47,34,L2DA,L2DF,NA
47,34,L2DA,L2V,0.39
47,34,L2DA,L2G,NA
47,34,L2DA,L2P,0.69
47,34,L2DA,L2M,0.57
47,34,L2DA,L2L,NA
47,34,L2DF,L2V,NA
47,34,L2DF,L2G,NA
47,34,L2DF,L2P,NA
47,34,L2DF,L2M,NA
47,34,L2DF,L2L,NA
47,34,L2V,L2G,NA
47,34,L2V,L2P,0.37
47,34,L2V,L2M,0.42
47,34,L2V,L2L,NA
47,34,L2G,L2P,NA
47,34,L2G,L2M,NA
47,34,L2G,L2L,NA
47,34,L2P,L2M,0.56
47,34,L2P,L2L,NA
47,34,L2M,L2L,NA
48,42,L2R,L2DA,NA
48,42,L2R,L2DF,NA
48,42,L2R,L2V,NA
48,42,L2R,L2G,0.79
48,42,L2R,L2P,NA
48,42,L2R,L2M,NA
48,42,L2R,L2L,0.63
48,42,L2DA,L2DF,NA
48,42,L2DA,L2V,NA
48,42,L2DA,L2G,NA
48,42,L2DA,L2P,NA
48,42,L2DA,L2M,NA
48,42,L2DA,L2L,NA
48,42,L2DF,L2V,NA
48,42,L2DF,L2G,NA
48,42,L2DF,L2P,NA
48,42,L2DF,L2M,NA
48,42,L2DF,L2L,NA
48,42,L2V,L2G,NA
48,42,L2V,L2P,NA
48,42,L2V,L2M,NA
48,42,L2V,L2L,NA
48,42,L2G,L2P,NA
48,42,L2G,L2M,NA
48,42,L2G,L2L,0.55
48,42,L2P,L2M,NA
48,42,L2P,L2L,NA
48,42,L2M,L2L,NA
49,26,L2R,L2DA,NA
49,26,L2R,L2DF,NA
49,26,L2R,L2V,NA
49,26,L2R,L2G,0.71
49,26,L2R,L2P,NA
49,26,L2R,L2M,NA
49,26,L2R,L2L,0.86
49,26,L2DA,L2DF,NA
49,26,L2DA,L2V,NA
49,26,L2DA,L2G,NA
49,26,L2DA,L2P,NA
49,26,L2DA,L2M,NA
49,26,L2DA,L2L,NA
49,26,L2DF,L2V,NA
49,26,L2DF,L2G,NA
49,26,L2DF,L2P,NA
49,26,L2DF,L2M,NA
49,26,L2DF,L2L,NA
49,26,L2V,L2G,NA
49,26,L2V,L2P,NA
49,26,L2V,L2M,NA
49,26,L2V,L2L,NA
49,26,L2G,L2P,NA
49,26,L2G,L2M,NA
49,26,L2G,L2L,0.55
49,26,L2P,L2M,NA
49,26,L2P,L2L,NA
49,26,L2M,L2L,NA
50,38,L2R,L2DA,NA
50,38,L2R,L2DF,NA
50,38,L2R,L2V,NA
50,38,L2R,L2G,0.61
50,38,L2R,L2P,0.25
50,38,L2R,L2M,NA
50,38,L2R,L2L,NA
50,38,L2DA,L2DF,NA
50,38,L2DA,L2V,NA
50,38,L2DA,L2G,NA
50,38,L2DA,L2P,NA
50,38,L2DA,L2M,NA
50,38,L2DA,L2L,NA
50,38,L2DF,L2V,NA
50,38,L2DF,L2G,NA
50,38,L2DF,L2P,NA
50,38,L2DF,L2M,NA
50,38,L2DF,L2L,NA
50,38,L2V,L2G,NA
50,38,L2V,L2P,NA
50,38,L2V,L2M,NA
50,38,L2V,L2L,NA
50,38,L2G,L2P,NA
50,38,L2G,L2M,NA
50,38,L2G,L2L,NA
50,38,L2P,L2M,NA
50,38,L2P,L2L,NA
50,38,L2M,L2L,NA
51,123,L2R,L2DA,0.57
51,123,L2R,L2DF,NA
51,123,L2R,L2V,0.57
51,123,L2R,L2G,0.56
51,123,L2R,L2P,NA
51,123,L2R,L2M,0.62
51,123,L2R,L2L,NA
51,123,L2DA,L2DF,NA
51,123,L2DA,L2V,0.64
51,123,L2DA,L2G,0.54
51,123,L2DA,L2P,NA
51,123,L2DA,L2M,0.82
51,123,L2DA,L2L,NA
51,123,L2DF,L2V,NA
51,123,L2DF,L2G,NA
51,123,L2DF,L2P,NA
51,123,L2DF,L2M,NA
51,123,L2DF,L2L,NA
51,123,L2V,L2G,0.78
51,123,L2V,L2P,NA
51,123,L2V,L2M,0.71
51,123,L2V,L2L,NA
51,123,L2G,L2P,NA
51,123,L2G,L2M,0.68
51,123,L2G,L2L,NA
51,123,L2P,L2M,NA
51,123,L2P,L2L,NA
51,123,L2M,L2L,NA
52,87,L2R,L2DA,0.41
52,87,L2R,L2DF,0.42
52,87,L2R,L2V,0.49
52,87,L2R,L2G,NA
52,87,L2R,L2P,NA
52,87,L2R,L2M,NA
52,87,L2R,L2L,0.56
52,87,L2DA,L2DF,0.5
52,87,L2DA,L2V,0.26
52,87,L2DA,L2G,NA
52,87,L2DA,L2P,NA
52,87,L2DA,L2M,NA
52,87,L2DA,L2L,0.42
52,87,L2DF,L2V,0.25
52,87,L2DF,L2G,NA
52,87,L2DF,L2P,NA
52,87,L2DF,L2M,NA
52,87,L2DF,L2L,0.16
52,87,L2V,L2G,NA
52,87,L2V,L2P,NA
52,87,L2V,L2M,NA
52,87,L2V,L2L,0.62
52,87,L2G,L2P,NA
52,87,L2G,L2M,NA
52,87,L2G,L2L,NA
52,87,L2P,L2M,NA
52,87,L2P,L2L,NA
52,87,L2M,L2L,NA
53,141,L2R,L2DA,0.73
53,141,L2R,L2DF,NA
53,141,L2R,L2V,0.64
53,141,L2R,L2G,NA
53,141,L2R,L2P,0.64
53,141,L2R,L2M,NA
53,141,L2R,L2L,NA
53,141,L2DA,L2DF,NA
53,141,L2DA,L2V,0.66
53,141,L2DA,L2G,NA
53,141,L2DA,L2P,0.54
53,141,L2DA,L2M,NA
53,141,L2DA,L2L,NA
53,141,L2DF,L2V,NA
53,141,L2DF,L2G,NA
53,141,L2DF,L2P,NA
53,141,L2DF,L2M,NA
53,141,L2DF,L2L,NA
53,141,L2V,L2G,NA
53,141,L2V,L2P,0.43
53,141,L2V,L2M,NA
53,141,L2V,L2L,NA
53,141,L2G,L2P,NA
53,141,L2G,L2M,NA
53,141,L2G,L2L,NA
53,141,L2P,L2M,NA
53,141,L2P,L2L,NA
53,141,L2M,L2L,NA
54,246,L2R,L2DA,NA
54,246,L2R,L2DF,0.22
54,246,L2R,L2V,0.35
54,246,L2R,L2G,NA
54,246,L2R,L2P,NA
54,246,L2R,L2M,0.22
54,246,L2R,L2L,NA
54,246,L2DA,L2DF,NA
54,246,L2DA,L2V,NA
54,246,L2DA,L2G,NA
54,246,L2DA,L2P,NA
54,246,L2DA,L2M,NA
54,246,L2DA,L2L,NA
54,246,L2DF,L2V,0.21
54,246,L2DF,L2G,NA
54,246,L2DF,L2P,NA
54,246,L2DF,L2M,0.15
54,246,L2DF,L2L,NA
54,246,L2V,L2G,NA
54,246,L2V,L2P,NA
54,246,L2V,L2M,0.15
54,246,L2V,L2L,NA
54,246,L2G,L2P,NA
54,246,L2G,L2M,NA
54,246,L2G,L2L,NA
54,246,L2P,L2M,NA
54,246,L2P,L2L,NA
54,246,L2M,L2L,NA
55,91,L2R,L2DA,NA
55,91,L2R,L2DF,0.59
55,91,L2R,L2V,0.38
55,91,L2R,L2G,NA
55,91,L2R,L2P,0.39
55,91,L2R,L2M,NA
55,91,L2R,L2L,NA
55,91,L2DA,L2DF,NA
55,91,L2DA,L2V,NA
55,91,L2DA,L2G,NA
55,91,L2DA,L2P,NA
55,91,L2DA,L2M,NA
55,91,L2DA,L2L,NA
55,91,L2DF,L2V,NA
55,91,L2DF,L2G,NA
55,91,L2DF,L2P,NA
55,91,L2DF,L2M,NA
55,91,L2DF,L2L,NA
55,91,L2V,L2G,NA
55,91,L2V,L2P,NA
55,91,L2V,L2M,NA
55,91,L2V,L2L,NA
55,91,L2G,L2P,NA
55,91,L2G,L2M,NA
55,91,L2G,L2L,NA
55,91,L2P,L2M,NA
55,91,L2P,L2L,NA
55,91,L2M,L2L,NA
56,249,L2R,L2DA,0.52
56,249,L2R,L2DF,NA
56,249,L2R,L2V,0.44
56,249,L2R,L2G,NA
56,249,L2R,L2P,0.47
56,249,L2R,L2M,NA
56,249,L2R,L2L,NA
56,249,L2DA,L2DF,NA
56,249,L2DA,L2V,0.5
56,249,L2DA,L2G,NA
56,249,L2DA,L2P,0.42
56,249,L2DA,L2M,NA
56,249,L2DA,L2L,NA
56,249,L2DF,L2V,NA
56,249,L2DF,L2G,NA
56,249,L2DF,L2P,NA
56,249,L2DF,L2M,NA
56,249,L2DF,L2L,NA
56,249,L2V,L2G,NA
56,249,L2V,L2P,0.41
56,249,L2V,L2M,NA
56,249,L2V,L2L,NA
56,249,L2G,L2P,NA
56,249,L2G,L2M,NA
56,249,L2G,L2L,NA
56,249,L2P,L2M,NA
56,249,L2P,L2L,NA
56,249,L2M,L2L,NA
57,173,L2R,L2DA,0.41
57,173,L2R,L2DF,NA
57,173,L2R,L2V,0.65
57,173,L2R,L2G,NA
57,173,L2R,L2P,NA
57,173,L2R,L2M,NA
57,173,L2R,L2L,NA
57,173,L2DA,L2DF,NA
57,173,L2DA,L2V,0.29
57,173,L2DA,L2G,NA
57,173,L2DA,L2P,NA
57,173,L2DA,L2M,NA
57,173,L2DA,L2L,NA
57,173,L2DF,L2V,NA
57,173,L2DF,L2G,NA
57,173,L2DF,L2P,NA
57,173,L2DF,L2M,NA
57,173,L2DF,L2L,NA
57,173,L2V,L2G,NA
57,173,L2V,L2P,NA
57,173,L2V,L2M,NA
57,173,L2V,L2L,NA
57,173,L2G,L2P,NA
57,173,L2G,L2M,NA
57,173,L2G,L2L,NA
57,173,L2P,L2M,NA
57,173,L2P,L2L,NA
57,173,L2M,L2L,NA
58,77,L2R,L2DA,NA
58,77,L2R,L2DF,NA
58,77,L2R,L2V,NA
58,77,L2R,L2G,NA
58,77,L2R,L2P,NA
58,77,L2R,L2M,NA
58,77,L2R,L2L,NA
58,77,L2DA,L2DF,NA
58,77,L2DA,L2V,NA
58,77,L2DA,L2G,NA
58,77,L2DA,L2P,NA
58,77,L2DA,L2M,NA
58,77,L2DA,L2L,NA
58,77,L2DF,L2V,NA
58,77,L2DF,L2G,NA
58,77,L2DF,L2P,NA
58,77,L2DF,L2M,NA
58,77,L2DF,L2L,NA
58,77,L2V,L2G,NA
58,77,L2V,L2P,NA
58,77,L2V,L2M,NA
58,77,L2V,L2L,0.38
58,77,L2G,L2P,NA
58,77,L2G,L2M,NA
58,77,L2G,L2L,0.26
58,77,L2P,L2M,NA
58,77,L2P,L2L,NA
58,77,L2M,L2L,NA
59,79,L2R,L2DA,NA
59,79,L2R,L2DF,NA
59,79,L2R,L2V,0.5
59,79,L2R,L2G,0.34
59,79,L2R,L2P,NA
59,79,L2R,L2M,NA
59,79,L2R,L2L,NA
59,79,L2DA,L2DF,NA
59,79,L2DA,L2V,NA
59,79,L2DA,L2G,NA
59,79,L2DA,L2P,NA
59,79,L2DA,L2M,NA
59,79,L2DA,L2L,NA
59,79,L2DF,L2V,NA
59,79,L2DF,L2G,NA
59,79,L2DF,L2P,NA
59,79,L2DF,L2M,NA
59,79,L2DF,L2L,NA
59,79,L2V,L2G,0.53
59,79,L2V,L2P,NA
59,79,L2V,L2M,NA
59,79,L2V,L2L,NA
59,79,L2G,L2P,NA
59,79,L2G,L2M,NA
59,79,L2G,L2L,NA
59,79,L2P,L2M,NA
59,79,L2P,L2L,NA
59,79,L2M,L2L,NA
60,60,L2R,L2DA,0.53
60,60,L2R,L2DF,NA
60,60,L2R,L2V,0.59
60,60,L2R,L2G,0.44
60,60,L2R,L2P,NA
60,60,L2R,L2M,NA
60,60,L2R,L2L,NA
60,60,L2DA,L2DF,NA
60,60,L2DA,L2V,0.58
60,60,L2DA,L2G,0.42
60,60,L2DA,L2P,NA
60,60,L2DA,L2M,NA
60,60,L2DA,L2L,NA
60,60,L2DF,L2V,NA
60,60,L2DF,L2G,NA
60,60,L2DF,L2P,NA
60,60,L2DF,L2M,NA
60,60,L2DF,L2L,NA
60,60,L2V,L2G,0.55
60,60,L2V,L2P,NA
60,60,L2V,L2M,NA
60,60,L2V,L2L,NA
60,60,L2G,L2P,NA
60,60,L2G,L2M,NA
60,60,L2G,L2L,NA
60,60,L2P,L2M,NA
60,60,L2P,L2L,NA
60,60,L2M,L2L,NA
61,94,L2R,L2DA,NA
61,94,L2R,L2DF,NA
61,94,L2R,L2V,0.75
61,94,L2R,L2G,NA
61,94,L2R,L2P,NA
61,94,L2R,L2M,NA
61,94,L2R,L2L,NA
61,94,L2DA,L2DF,NA
61,94,L2DA,L2V,NA
61,94,L2DA,L2G,NA
61,94,L2DA,L2P,NA
61,94,L2DA,L2M,NA
61,94,L2DA,L2L,NA
61,94,L2DF,L2V,NA
61,94,L2DF,L2G,NA
61,94,L2DF,L2P,NA
61,94,L2DF,L2M,NA
61,94,L2DF,L2L,NA
61,94,L2V,L2G,NA
61,94,L2V,L2P,NA
61,94,L2V,L2M,NA
61,94,L2V,L2L,NA
61,94,L2G,L2P,NA
61,94,L2G,L2M,NA
61,94,L2G,L2L,NA
61,94,L2P,L2M,NA
61,94,L2P,L2L,NA
61,94,L2M,L2L,NA
62,75,L2R,L2DA,NA
62,75,L2R,L2DF,NA
62,75,L2R,L2V,0.57
62,75,L2R,L2G,0.56
62,75,L2R,L2P,NA
62,75,L2R,L2M,NA
62,75,L2R,L2L,0.64
62,75,L2DA,L2DF,NA
62,75,L2DA,L2V,NA
62,75,L2DA,L2G,NA
62,75,L2DA,L2P,NA
62,75,L2DA,L2M,NA
62,75,L2DA,L2L,NA
62,75,L2DF,L2V,NA
62,75,L2DF,L2G,NA
62,75,L2DF,L2P,NA
62,75,L2DF,L2M,NA
62,75,L2DF,L2L,NA
62,75,L2V,L2G,0.56
62,75,L2V,L2P,NA
62,75,L2V,L2M,NA
62,75,L2V,L2L,0.51
62,75,L2G,L2P,NA
62,75,L2G,L2M,NA
62,75,L2G,L2L,0.48
62,75,L2P,L2M,NA
62,75,L2P,L2L,NA
62,75,L2M,L2L,NA
63,83,L2R,L2DA,NA
63,83,L2R,L2DF,NA
63,83,L2R,L2V,0.12
63,83,L2R,L2G,NA
63,83,L2R,L2P,NA
63,83,L2R,L2M,NA
63,83,L2R,L2L,NA
63,83,L2DA,L2DF,NA
63,83,L2DA,L2V,NA
63,83,L2DA,L2G,NA
63,83,L2DA,L2P,NA
63,83,L2DA,L2M,NA
63,83,L2DA,L2L,NA
63,83,L2DF,L2V,NA
63,83,L2DF,L2G,NA
63,83,L2DF,L2P,NA
63,83,L2DF,L2M,NA
63,83,L2DF,L2L,NA
63,83,L2V,L2G,NA
63,83,L2V,L2P,NA
63,83,L2V,L2M,NA
63,83,L2V,L2L,NA
63,83,L2G,L2P,NA
63,83,L2G,L2M,NA
63,83,L2G,L2L,NA
63,83,L2P,L2M,NA
63,83,L2P,L2L,NA
63,83,L2M,L2L,NA
64,137,L2R,L2DA,0.79
64,137,L2R,L2DF,NA
64,137,L2R,L2V,0.57
64,137,L2R,L2G,NA
64,137,L2R,L2P,0.59
64,137,L2R,L2M,0.66
64,137,L2R,L2L,NA
64,137,L2DA,L2DF,NA
64,137,L2DA,L2V,0.59
64,137,L2DA,L2G,NA
64,137,L2DA,L2P,0.69
64,137,L2DA,L2M,0.71
64,137,L2DA,L2L,NA
64,137,L2DF,L2V,NA
64,137,L2DF,L2G,NA
64,137,L2DF,L2P,NA
64,137,L2DF,L2M,NA
