Study,N,var1,var2,ri
7,38,L2DA,L2G,NA
7,38,L2DA,L2P,NA
7,38,L2DA,L2M,NA
7,38,L2DA,L2L,NA
7,38,L2DF,L2V,NA
7,38,L2DF,L2G,NA
7,38,L2DF,L2P,NA
7,38,L2DF,L2M,NA
7,38,L2DF,L2L,NA
7,38,L2V,L2G,0.5
7,38,L2V,L2P,NA
7,38,L2V,L2M,NA
7,38,L2V,L2L,NA
7,38,L2G,L2P,NA
7,38,L2G,L2M,NA
7,38,L2G,L2L,NA
7,38,L2P,L2M,NA
7,38,L2P,L2L,NA
7,38,L2M,L2L,NA
8,49,L2R,L2DA,NA
8,49,L2R,L2DF,NA
8,49,L2R,L2V,0.42
8,49,L2R,L2G,NA
8,49,L2R,L2P,0.37
8,49,L2R,L2M,NA
8,49,L2R,L2L,NA
8,49,L2DA,L2DF,NA
8,49,L2DA,L2V,NA
8,49,L2DA,L2G,NA
8,49,L2DA,L2P,NA
8,49,L2DA,L2M,NA
8,49,L2DA,L2L,NA
8,49,L2DF,L2V,NA
8,49,L2DF,L2G,NA
8,49,L2DF,L2P,NA
8,49,L2DF,L2M,NA
8,49,L2DF,L2L,NA
8,49,L2V,L2G,NA
8,49,L2V,L2P,NA
8,49,L2V,L2M,NA
8,49,L2V,L2L,NA
8,49,L2G,L2P,NA
8,49,L2G,L2M,NA
8,49,L2G,L2L,NA
8,49,L2P,L2M,NA
8,49,L2P,L2L,NA
8,49,L2M,L2L,NA
9,89,L2R,L2DA,0.52
9,89,L2R,L2DF,NA
9,89,L2R,L2V,0.51
9,89,L2R,L2G,NA
9,89,L2R,L2P,0.5
9,89,L2R,L2M,0.43
9,89,L2R,L2L,NA
9,89,L2DA,L2DF,NA
9,89,L2DA,L2V,0.43
9,89,L2DA,L2G,NA
9,89,L2DA,L2P,0.43
9,89,L2DA,L2M,0.4
9,89,L2DA,L2L,NA
9,89,L2DF,L2V,NA
9,89,L2DF,L2G,NA
9,89,L2DF,L2P,NA
9,89,L2DF,L2M,NA
9,89,L2DF,L2L,NA
9,89,L2V,L2G,NA
9,89,L2V,L2P,0.43
9,89,L2V,L2M,0.41
9,89,L2V,L2L,NA
9,89,L2G,L2P,NA
9,89,L2G,L2M,NA
9,89,L2G,L2L,NA
9,89,L2P,L2M,0.32
9,89,L2P,L2L,NA
9,89,L2M,L2L,NA
10,77,L2R,L2DA,0.72
10,77,L2R,L2DF,NA
10,77,L2R,L2V,0.71
10,77,L2R,L2G,NA
10,77,L2R,L2P,0.8
10,77,L2R,L2M,0.61
10,77,L2R,L2L,NA
10,77,L2DA,L2DF,NA
10,77,L2DA,L2V,0.76
10,77,L2DA,L2G,NA
10,77,L2DA,L2P,0.76
10,77,L2DA,L2M,0.67
10,77,L2DA,L2L,NA
10,77,L2DF,L2V,NA
10,77,L2DF,L2G,NA
10,77,L2DF,L2P,NA
10,77,L2DF,L2M,NA
10,77,L2DF,L2L,NA
10,77,L2V,L2G,NA
10,77,L2V,L2P,0.74
10,77,L2V,L2M,0.67
10,77,L2V,L2L,NA
10,77,L2G,L2P,NA
10,77,L2G,L2M,NA
10,77,L2G,L2L,NA
10,77,L2P,L2M,0.68
10,77,L2P,L2L,NA
10,77,L2M,L2L,NA
11,132,L2R,L2DA,NA
11,132,L2R,L2DF,NA
11,132,L2R,L2V,0.66
11,132,L2R,L2G,0.55
11,132,L2R,L2P,NA
11,132,L2R,L2M,NA
11,132,L2R,L2L,0.58
11,132,L2DA,L2DF,NA
11,132,L2DA,L2V,NA
11,132,L2DA,L2G,NA
11,132,L2DA,L2P,NA
11,132,L2DA,L2M,NA
11,132,L2DA,L2L,NA
11,132,L2DF,L2V,NA
11,132,L2DF,L2G,NA
11,132,L2DF,L2P,NA
11,132,L2DF,L2M,NA
11,132,L2DF,L2L,NA
11,132,L2V,L2G,0.61
11,132,L2V,L2P,NA
11,132,L2V,L2M,NA
11,132,L2V,L2L,0.64
11,132,L2G,L2P,NA
11,132,L2G,L2M,NA
11,132,L2G,L2L,0.65
11,132,L2P,L2M,NA
11,132,L2P,L2L,NA
11,132,L2M,L2L,NA
12,126,L2R,L2DA,NA
12,126,L2R,L2DF,NA
12,126,L2R,L2V,0.64
12,126,L2R,L2G,0.65
12,126,L2R,L2P,NA
12,126,L2R,L2M,NA
12,126,L2R,L2L,0.59
12,126,L2DA,L2DF,NA
12,126,L2DA,L2V,NA
12,126,L2DA,L2G,NA
12,126,L2DA,L2P,NA
12,126,L2DA,L2M,NA
12,126,L2DA,L2L,NA
12,126,L2DF,L2V,NA
12,126,L2DF,L2G,NA
12,126,L2DF,L2P,NA
12,126,L2DF,L2M,NA
12,126,L2DF,L2L,NA
12,126,L2V,L2G,0.73
12,126,L2V,L2P,NA
12,126,L2V,L2M,NA
12,126,L2V,L2L,0.68
12,126,L2G,L2P,NA
12,126,L2G,L2M,NA
12,126,L2G,L2L,0.64
12,126,L2P,L2M,NA
12,126,L2P,L2L,NA
12,126,L2M,L2L,NA
13,11,L2R,L2DA,NA
13,11,L2R,L2DF,NA
13,11,L2R,L2V,0.38
13,11,L2R,L2G,NA
13,11,L2R,L2P,NA
13,11,L2R,L2M,NA
13,11,L2R,L2L,NA
13,11,L2DA,L2DF,NA
13,11,L2DA,L2V,NA
13,11,L2DA,L2G,NA
13,11,L2DA,L2P,NA
13,11,L2DA,L2M,NA
13,11,L2DA,L2L,NA
13,11,L2DF,L2V,NA
13,11,L2DF,L2G,NA
13,11,L2DF,L2P,NA
13,11,L2DF,L2M,NA
13,11,L2DF,L2L,NA
13,11,L2V,L2G,NA
13,11,L2V,L2P,NA
13,11,L2V,L2M,NA
13,11,L2V,L2L,NA
13,11,L2G,L2P,NA
13,11,L2G,L2M,NA
13,11,L2G,L2L,NA
13,11,L2P,L2M,NA
13,11,L2P,L2L,NA
13,11,L2M,L2L,NA
14,76,L2R,L2DA,0.37
14,76,L2R,L2DF,0.36
14,76,L2R,L2V,0.56
14,76,L2R,L2G,NA
14,76,L2R,L2P,NA
14,76,L2R,L2M,NA
14,76,L2R,L2L,0.49
14,76,L2DA,L2DF,0.5
14,76,L2DA,L2V,0.2
14,76,L2DA,L2G,NA
14,76,L2DA,L2P,NA
14,76,L2DA,L2M,NA
14,76,L2DA,L2L,0.22
14,76,L2DF,L2V,0.23
14,76,L2DF,L2G,NA
14,76,L2DF,L2P,NA
14,76,L2DF,L2M,NA
14,76,L2DF,L2L,0.12
14,76,L2V,L2G,NA
14,76,L2V,L2P,NA
14,76,L2V,L2M,NA
14,76,L2V,L2L,0.64
14,76,L2G,L2P,NA
14,76,L2G,L2M,NA
14,76,L2G,L2L,NA
14,76,L2P,L2M,NA
14,76,L2P,L2L,NA
14,76,L2M,L2L,NA
15,502,L2R,L2DA,NA
15,502,L2R,L2DF,0.27
15,502,L2R,L2V,0.48
15,502,L2R,L2G,NA
15,502,L2R,L2P,NA
15,502,L2R,L2M,NA
15,502,L2R,L2L,NA
15,502,L2DA,L2DF,NA
15,502,L2DA,L2V,NA
15,502,L2DA,L2G,NA
15,502,L2DA,L2P,NA
15,502,L2DA,L2M,NA
15,502,L2DA,L2L,NA
15,502,L2DF,L2V,NA
15,502,L2DF,L2G,0.35
15,502,L2DF,L2P,NA
15,502,L2DF,L2M,NA
15,502,L2DF,L2L,NA
15,502,L2V,L2G,NA
15,502,L2V,L2P,NA
15,502,L2V,L2M,NA
15,502,L2V,L2L,NA
15,502,L2G,L2P,NA
15,502,L2G,L2M,NA
15,502,L2G,L2L,NA
15,502,L2P,L2M,NA
15,502,L2P,L2L,NA
15,502,L2M,L2L,NA
16,662,L2R,L2DA,NA
16,662,L2R,L2DF,0.2
16,662,L2R,L2V,0.44
16,662,L2R,L2G,NA
16,662,L2R,L2P,NA
16,662,L2R,L2M,NA
16,662,L2R,L2L,NA
16,662,L2DA,L2DF,NA
16,662,L2DA,L2V,NA
16,662,L2DA,L2G,NA
16,662,L2DA,L2P,NA
16,662,L2DA,L2M,NA
16,662,L2DA,L2L,NA
16,662,L2DF,L2V,NA
16,662,L2DF,L2G,0.28
16,662,L2DF,L2P,NA
16,662,L2DF,L2M,NA
16,662,L2DF,L2L,NA
16,662,L2V,L2G,NA
16,662,L2V,L2P,NA
16,662,L2V,L2M,NA
16,662,L2V,L2L,NA
16,662,L2G,L2P,NA
16,662,L2G,L2M,NA
16,662,L2G,L2L,NA
16,662,L2P,L2M,NA
16,662,L2P,L2L,NA
16,662,L2M,L2L,NA
17,51,L2R,L2DA,NA
17,51,L2R,L2DF,NA
17,51,L2R,L2V,NA
17,51,L2R,L2G,0.21
17,51,L2R,L2P,NA
17,51,L2R,L2M,NA
17,51,L2R,L2L,NA
17,51,L2DA,L2DF,NA
17,51,L2DA,L2V,NA
17,51,L2DA,L2G,NA
17,51,L2DA,L2P,NA
17,51,L2DA,L2M,NA
17,51,L2DA,L2L,NA
17,51,L2DF,L2V,NA
17,51,L2DF,L2G,NA
17,51,L2DF,L2P,NA
17,51,L2DF,L2M,NA
17,51,L2DF,L2L,NA
17,51,L2V,L2G,NA
17,51,L2V,L2P,NA
17,51,L2V,L2M,NA
17,51,L2V,L2L,NA
17,51,L2G,L2P,NA
17,51,L2G,L2M,NA
17,51,L2G,L2L,NA
17,51,L2P,L2M,NA
17,51,L2P,L2L,NA
17,51,L2M,L2L,NA
18,192,L2R,L2DA,0.73
18,192,L2R,L2DF,0.61
18,192,L2R,L2V,NA
18,192,L2R,L2G,NA
18,192,L2R,L2P,0.66
18,192,L2R,L2M,NA
18,192,L2R,L2L,0.99
18,192,L2DA,L2DF,0.64
18,192,L2DA,L2V,NA
18,192,L2DA,L2G,NA
18,192,L2DA,L2P,0.54
18,192,L2DA,L2M,NA
18,192,L2DA,L2L,0.6
18,192,L2DF,L2V,NA
18,192,L2DF,L2G,NA
18,192,L2DF,L2P,0.43
18,192,L2DF,L2M,NA
18,192,L2DF,L2L,0.49
18,192,L2V,L2G,NA
18,192,L2V,L2P,NA
18,192,L2V,L2M,NA
18,192,L2V,L2L,NA
18,192,L2G,L2P,NA
18,192,L2G,L2M,NA
18,192,L2G,L2L,NA
18,192,L2P,L2M,NA
18,192,L2P,L2L,0.66
18,192,L2M,L2L,NA
19,113,L2R,L2DA,0.44
19,113,L2R,L2DF,NA
19,113,L2R,L2V,0.57
19,113,L2R,L2G,NA
19,113,L2R,L2P,NA
19,113,L2R,L2M,0.62
19,113,L2R,L2L,0.7
19,113,L2DA,L2DF,NA
19,113,L2DA,L2V,0.26
19,113,L2DA,L2G,NA
19,113,L2DA,L2P,NA
19,113,L2DA,L2M,0.58
19,113,L2DA,L2L,0.2
19,113,L2DF,L2V,NA
19,113,L2DF,L2G,NA
19,113,L2DF,L2P,NA
19,113,L2DF,L2M,NA
19,113,L2DF,L2L,NA
19,113,L2V,L2G,NA
19,113,L2V,L2P,NA
19,113,L2V,L2M,0.53
19,113,L2V,L2L,0.74
19,113,L2G,L2P,NA
19,113,L2G,L2M,NA
19,113,L2G,L2L,NA
19,113,L2P,L2M,NA
19,113,L2P,L2L,NA
19,113,L2M,L2L,0.49
20,79,L2R,L2DA,0.83
20,79,L2R,L2DF,NA
20,79,L2R,L2V,0.29
20,79,L2R,L2G,NA
20,79,L2R,L2P,0.5
20,79,L2R,L2M,NA
20,79,L2R,L2L,NA
20,79,L2DA,L2DF,NA
20,79,L2DA,L2V,0.27
20,79,L2DA,L2G,NA
20,79,L2DA,L2P,0.45
20,79,L2DA,L2M,NA
20,79,L2DA,L2L,NA
20,79,L2DF,L2V,NA
20,79,L2DF,L2G,NA
20,79,L2DF,L2P,NA
20,79,L2DF,L2M,NA
20,79,L2DF,L2L,NA
20,79,L2V,L2G,NA
20,79,L2V,L2P,0.41
20,79,L2V,L2M,NA
20,79,L2V,L2L,NA
20,79,L2G,L2P,NA
20,79,L2G,L2M,NA
20,79,L2G,L2L,NA
20,79,L2P,L2M,NA
20,79,L2P,L2L,NA
20,79,L2M,L2L,NA
21,64,L2R,L2DA,0.74
21,64,L2R,L2DF,0.74
21,64,L2R,L2V,0.49
21,64,L2R,L2G,NA
21,64,L2R,L2P,0.68
21,64,L2R,L2M,NA
21,64,L2R,L2L,NA
21,64,L2DA,L2DF,0.74
21,64,L2DA,L2V,0.5
21,64,L2DA,L2G,NA
21,64,L2DA,L2P,0.75
21,64,L2DA,L2M,NA
21,64,L2DA,L2L,NA
21,64,L2DF,L2V,0.43
21,64,L2DF,L2G,NA
21,64,L2DF,L2P,0.67
21,64,L2DF,L2M,NA
21,64,L2DF,L2L,NA
21,64,L2V,L2G,NA
21,64,L2V,L2P,0.38
21,64,L2V,L2M,NA
21,64,L2V,L2L,NA
21,64,L2G,L2P,NA
21,64,L2G,L2M,NA
21,64,L2G,L2L,NA
21,64,L2P,L2M,NA
21,64,L2P,L2L,NA
21,64,L2M,L2L,NA
22,66,L2R,L2DA,0.77
22,66,L2R,L2DF,0.61
22,66,L2R,L2V,0.5
22,66,L2R,L2G,NA
22,66,L2R,L2P,0.6
22,66,L2R,L2M,NA
22,66,L2R,L2L,NA
22,66,L2DA,L2DF,0.69
22,66,L2DA,L2V,0.44
22,66,L2DA,L2G,NA
22,66,L2DA,L2P,0.65
22,66,L2DA,L2M,NA
22,66,L2DA,L2L,NA
22,66,L2DF,L2V,0.35
22,66,L2DF,L2G,NA
22,66,L2DF,L2P,0.48
22,66,L2DF,L2M,NA
22,66,L2DF,L2L,NA
22,66,L2V,L2G,NA
22,66,L2V,L2P,0.37
22,66,L2V,L2M,NA
22,66,L2V,L2L,NA
22,66,L2G,L2P,NA
22,66,L2G,L2M,NA
22,66,L2G,L2L,NA
22,66,L2P,L2M,NA
22,66,L2P,L2L,NA
22,66,L2M,L2L,NA
23,65,L2R,L2DA,0.83
23,65,L2R,L2DF,0.79
23,65,L2R,L2V,0.68
23,65,L2R,L2G,NA
23,65,L2R,L2P,0.65
23,65,L2R,L2M,NA
23,65,L2R,L2L,NA
23,65,L2DA,L2DF,0.81
23,65,L2DA,L2V,0.6
23,65,L2DA,L2G,NA
23,65,L2DA,L2P,0.71
23,65,L2DA,L2M,NA
23,65,L2DA,L2L,NA
23,65,L2DF,L2V,0.55
23,65,L2DF,L2G,NA
23,65,L2DF,L2P,0.58
23,65,L2DF,L2M,NA
23,65,L2DF,L2L,NA
23,65,L2V,L2G,NA
23,65,L2V,L2P,0.61
23,65,L2V,L2M,NA
23,65,L2V,L2L,NA
23,65,L2G,L2P,NA
23,65,L2G,L2M,NA
23,65,L2G,L2L,NA
23,65,L2P,L2M,NA
23,65,L2P,L2L,NA
23,65,L2M,L2L,NA
24,278,L2R,L2DA,NA
24,278,L2R,L2DF,NA
24,278,L2R,L2V,0.4
24,278,L2R,L2G,0.17
24,278,L2R,L2P,NA
24,278,L2R,L2M,NA
24,278,L2R,L2L,NA
24,278,L2DA,L2DF,NA
24,278,L2DA,L2V,NA
24,278,L2DA,L2G,NA
24,278,L2DA,L2P,NA
24,278,L2DA,L2M,NA
24,278,L2DA,L2L,NA
24,278,L2DF,L2V,NA
24,278,L2DF,L2G,NA
24,278,L2DF,L2P,NA
24,278,L2DF,L2M,NA
24,278,L2DF,L2L,NA
24,278,L2V,L2G,0.24
24,278,L2V,L2P,NA
24,278,L2V,L2M,NA
24,278,L2V,L2L,NA
24,278,L2G,L2P,NA
24,278,L2G,L2M,NA
24,278,L2G,L2L,NA
24,278,L2P,L2M,NA
24,278,L2P,L2L,NA
24,278,L2M,L2L,NA
25,559,L2R,L2DA,NA
25,559,L2R,L2DF,NA
25,559,L2R,L2V,0.11
25,559,L2R,L2G,NA
25,559,L2R,L2P,NA
25,559,L2R,L2M,NA
25,559,L2R,L2L,0.68
25,559,L2DA,L2DF,NA
25,559,L2DA,L2V,NA
25,559,L2DA,L2G,NA
25,559,L2DA,L2P,NA
25,559,L2DA,L2M,NA
25,559,L2DA,L2L,NA
25,559,L2DF,L2V,NA
25,559,L2DF,L2G,NA
25,559,L2DF,L2P,NA
25,559,L2DF,L2M,NA
25,559,L2DF,L2L,NA
25,559,L2V,L2G,NA
25,559,L2V,L2P,NA
25,559,L2V,L2M,NA
25,559,L2V,L2L,0.2
25,559,L2G,L2P,NA
25,559,L2G,L2M,NA
25,559,L2G,L2L,NA
25,559,L2P,L2M,NA
25,559,L2P,L2L,NA
25,559,L2M,L2L,NA
26,88,L2R,L2DA,NA
26,88,L2R,L2DF,NA
26,88,L2R,L2V,0.68
26,88,L2R,L2G,NA
26,88,L2R,L2P,NA
26,88,L2R,L2M,NA
26,88,L2R,L2L,NA
26,88,L2DA,L2DF,NA
26,88,L2DA,L2V,NA
26,88,L2DA,L2G,NA
26,88,L2DA,L2P,NA
26,88,L2DA,L2M,NA
26,88,L2DA,L2L,NA
26,88,L2DF,L2V,NA
26,88,L2DF,L2G,NA
26,88,L2DF,L2P,NA
26,88,L2DF,L2M,NA
26,88,L2DF,L2L,NA
26,88,L2V,L2G,NA
26,88,L2V,L2P,NA
26,88,L2V,L2M,NA
26,88,L2V,L2L,NA
26,88,L2G,L2P,NA
26,88,L2G,L2M,NA
26,88,L2G,L2L,NA
26,88,L2P,L2M,NA
26,88,L2P,L2L,NA
26,88,L2M,L2L,NA
27,60,L2R,L2DA,NA
27,60,L2R,L2DF,NA
27,60,L2R,L2V,0.37
27,60,L2R,L2G,0.29
27,60,L2R,L2P,NA
27,60,L2R,L2M,NA
27,60,L2R,L2L,0.39
27,60,L2DA,L2DF,NA
27,60,L2DA,L2V,NA
27,60,L2DA,L2G,NA
27,60,L2DA,L2P,NA
27,60,L2DA,L2M,NA
27,60,L2DA,L2L,NA
27,60,L2DF,L2V,NA
27,60,L2DF,L2G,NA
27,60,L2DF,L2P,NA
27,60,L2DF,L2M,NA
27,60,L2DF,L2L,NA
27,60,L2V,L2G,0.57
27,60,L2V,L2P,NA
27,60,L2V,L2M,NA
27,60,L2V,L2L,0.45
27,60,L2G,L2P,NA
27,60,L2G,L2M,NA
27,60,L2G,L2L,0.47
27,60,L2P,L2M,NA
27,60,L2P,L2L,NA
27,60,L2M,L2L,NA
28,184,L2R,L2DA,NA
28,184,L2R,L2DF,NA
28,184,L2R,L2V,0.5
28,184,L2R,L2G,0.52
28,184,L2R,L2P,NA
28,184,L2R,L2M,NA
28,184,L2R,L2L,0.29
28,184,L2DA,L2DF,NA
28,184,L2DA,L2V,NA
28,184,L2DA,L2G,NA
28,184,L2DA,L2P,NA
28,184,L2DA,L2M,NA
28,184,L2DA,L2L,NA
28,184,L2DF,L2V,NA
28,184,L2DF,L2G,NA
28,184,L2DF,L2P,NA
28,184,L2DF,L2M,NA
28,184,L2DF,L2L,NA
28,184,L2V,L2G,0.41
28,184,L2V,L2P,NA
28,184,L2V,L2M,NA
28,184,L2V,L2L,0.41
28,184,L2G,L2P,NA
28,184,L2G,L2M,NA
28,184,L2G,L2L,0.37
28,184,L2P,L2M,NA
28,184,L2P,L2L,NA
28,184,L2M,L2L,NA
29,210,L2R,L2DA,0.84
29,210,L2R,L2DF,NA
29,210,L2R,L2V,NA
29,210,L2R,L2G,NA
29,210,L2R,L2P,NA
29,210,L2R,L2M,NA
29,210,L2R,L2L,0.46
29,210,L2DA,L2DF,NA
29,210,L2DA,L2V,NA
29,210,L2DA,L2G,NA
29,210,L2DA,L2P,NA
29,210,L2DA,L2M,NA
29,210,L2DA,L2L,0.42
29,210,L2DF,L2V,NA
29,210,L2DF,L2G,NA
29,210,L2DF,L2P,NA
29,210,L2DF,L2M,NA
29,210,L2DF,L2L,NA
29,210,L2V,L2G,NA
29,210,L2V,L2P,NA
29,210,L2V,L2M,NA
29,210,L2V,L2L,NA
29,210,L2G,L2P,NA
29,210,L2G,L2M,NA
29,210,L2G,L2L,NA
29,210,L2P,L2M,NA
29,210,L2P,L2L,NA
29,210,L2M,L2L,NA
30,50,L2R,L2DA,NA
30,50,L2R,L2DF,NA
30,50,L2R,L2V,0.3
30,50,L2R,L2G,NA
30,50,L2R,L2P,NA
30,50,L2R,L2M,NA
30,50,L2R,L2L,NA
30,50,L2DA,L2DF,NA
30,50,L2DA,L2V,NA
30,50,L2DA,L2G,NA
30,50,L2DA,L2P,NA
30,50,L2DA,L2M,NA
30,50,L2DA,L2L,NA
30,50,L2DF,L2V,NA
30,50,L2DF,L2G,NA
30,50,L2DF,L2P,NA
30,50,L2DF,L2M,NA
30,50,L2DF,L2L,NA
30,50,L2V,L2G,NA
30,50,L2V,L2P,NA
30,50,L2V,L2M,NA
30,50,L2V,L2L,NA
30,50,L2G,L2P,NA
30,50,L2G,L2M,NA
30,50,L2G,L2L,NA
30,50,L2P,L2M,NA
30,50,L2P,L2L,NA
30,50,L2M,L2L,NA
31,20,L2R,L2DA,NA
31,20,L2R,L2DF,NA
31,20,L2R,L2V,0.5
31,20,L2R,L2G,NA
31,20,L2R,L2P,NA
31,20,L2R,L2M,NA
31,20,L2R,L2L,NA
31,20,L2DA,L2DF,NA
31,20,L2DA,L2V,NA
31,20,L2DA,L2G,NA
31,20,L2DA,L2P,NA
31,20,L2DA,L2M,NA
31,20,L2DA,L2L,NA
31,20,L2DF,L2V,NA
31,20,L2DF,L2G,NA
31,20,L2DF,L2P,NA
31,20,L2DF,L2M,NA
31,20,L2DF,L2L,NA
31,20,L2V,L2G,NA
31,20,L2V,L2P,NA
31,20,L2V,L2M,NA
31,20,L2V,L2L,NA
31,20,L2G,L2P,NA
31,20,L2G,L2M,NA
31,20,L2G,L2L,NA
31,20,L2P,L2M,NA
31,20,L2P,L2L,NA
31,20,L2M,L2L,NA
32,159,L2R,L2DA,NA
32,159,L2R,L2DF,NA
32,159,L2R,L2V,0.5
32,159,L2R,L2G,0.64
32,159,L2R,L2P,NA
32,159,L2R,L2M,NA
32,159,L2R,L2L,0.67
32,159,L2DA,L2DF,NA
32,159,L2DA,L2V,NA
32,159,L2DA,L2G,NA
32,159,L2DA,L2P,NA
32,159,L2DA,L2M,NA
32,159,L2DA,L2L,NA
32,159,L2DF,L2V,NA
32,159,L2DF,L2G,NA
32,159,L2DF,L2P,NA
32,159,L2DF,L2M,NA
32,159,L2DF,L2L,NA
32,159,L2V,L2G,0.64
32,159,L2V,L2P,NA
32,159,L2V,L2M,NA
32,159,L2V,L2L,0.49
