studyID,esID,yi,vi,year,time
B1,9,1.3816043075105,0.158141211392003,2008,1
B1,10,0.39544390719508,0.144786184969652,2008,4
B1,11,0.68412154461385,0.15944329131583,2008,4
B1,12,0.840489804063828,0.160004899746149,2008,4
B2,13,0.685256679111567,0.197871297337998,2010,1
B2,14,0.284456897067807,0.123268265180183,2010,1
B2,15,0.932902038808627,0.221406740468044,2010,1
B2,16,0.723050548009987,0.197532099671785,2010,4
B2,17,0.260037972520419,0.122194925719761,2010,4
B2,18,1.07574778768054,0.232994837600086,2010,4
B3,19,2.23580048872158,0.489246138041972,2010,1
B3,20,1.2856505005234,0.292697090176833,2010,1
B3,21,0.741619417647072,0.219739219161974,2010,1
B3,22,1.77477930764387,0.279077755542188,2010,4
B3,23,1.52749929357864,0.243683452302407,2010,4
B3,24,1.32949026643913,0.219634782065959,2010,4
B3,25,1.74952437589891,0.326825891010503,2010,4
B3,26,1.40253098101932,0.269150991024652,2010,4
B3,27,0.931911440415526,0.209663807806552,2010,4
B3,28,2.53617175568473,0.448541581685456,2010,4
B3,29,1.98211435174203,0.330814744577102,2010,4
B3,30,1.31656934509598,0.228922371788332,2010,4
B4,31,0.659280404456532,0.11858792056832,2005,3
B4,32,-0.493579287454924,0.144618220871329,2005,3
B4,33,-0.515658588352911,0.120262423608392,2005,3
B4,34,-0.697550641162445,0.127801304891193,2005,3
B4,35,0.94763986161502,0.127560079864346,2005,3
B4,36,0.0110299685560246,0.123613311527171,2005,3
B5,37,1.24618767477481,0.0923950096920787,2018,1
B5,38,0.809034721779688,0.0805349825742304,2018,1
B5,39,1.62384536053267,0.104431928836983,2018,3
B5,40,0.922018218192253,0.0816372988446351,2018,3
B6,41,0.557805006003365,0.0548233706710668,2017,2
B6,42,0.593319026886346,0.0533134340006485,2017,2
B6,43,0.415602289950288,0.0493211372620684,2017,2
B6,44,-0.13246521045376,0.0487610947269998,2017,2
B6,45,0.392256498467413,0.0504691988744719,2017,2
B6,46,0.283194721658328,0.0490258286346125,2017,2
B6,47,0.192419521661366,0.04977346875446,2017,2
B6,48,0.074926089924349,0.0467887133587117,2017,2
B6,49,0.202292637417244,0.0486050219056356,2017,2
B6,50,0.250094003085669,0.0469990664117668,2017,2
B6,51,0.0260804762928364,0.0482257745546581,2017,2
B6,52,0.266946240984036,0.0475084305613577,2017,2
B6,53,-0.209151391140702,0.0492422878333933,2017,2
B6,54,0.66314684691257,0.050917626006471,2017,2
B6,55,0.0798625112392594,0.0518597547476558,2017,2
B6,56,0.13171675265625,0.0484539028259902,2017,2
D1,57,0.31918384460853,0.130078257049315,2015,1
D1,58,0.28418224744817,0.116071790343883,2015,1
D1,59,0.9658362029661,0.277772268669728,2015,1
D1,60,0.262035633742091,0.175239481931224,2015,1
D1,61,0.244790562443129,0.127774200438216,2015,4
D1,62,0.048659745383283,0.123853085814772,2015,4
D1,63,1.26193206891044,0.257619387690397,2015,4
D1,64,0.298658831638583,0.140797911383429,2015,4
D2,65,-0.0241685015949921,0.11013982417938,2016,1
D2,66,0.0568627587441545,0.135576484149871,2016,1
D2,67,0.354332655652059,0.119422529324049,2016,4
D2,68,-0.660567453516488,0.117639390265784,2016,4
D3,69,0.121189025339476,0.0263679229899034,2013,2
D3,70,0.371773793739,0.0275620767039118,2013,2
D3,71,0.393664306877478,0.029358199552414,2013,2
D3,72,0.231431157092322,0.0301145921242802,2013,2
E1,73,-0.015005115150573,0.139319112562302,2019,1
E1,74,0.547737750971412,0.121638330037489,2019,1
E1,75,-0.0969807106429733,0.130469555056224,2019,4
E1,76,0.235252780060667,0.118000371839138,2019,4
E2,77,-0.0130216304538143,0.237490609060129,2008,1
E2,78,0.714488555800947,0.291588999422319,2008,1
E2,79,1.88572881097081,0.492585233170774,2008,3
E2,80,1.13293300385717,0.283074424694203,2008,3
E3,81,1.09360336692451,0.173886147165649,2011,2
F1,82,-0.130891968167729,0.132698955109668,2001,2
F1,83,-0.546790607545667,0.153290599672889,2001,2
F2,84,1.04850253537193,0.213118104721936,2016,1
F2,85,1.16097891876459,0.201019175184255,2016,1
F2,86,1.05077436314711,0.200295623619601,2016,2
F2,87,0.988105133817288,0.173344643007713,2016,2
G1,88,0.634801653775922,0.08527821225038,2015,1
G1,89,0.907663757910602,0.0968482895928841,2015,1
G1,90,0.992871666083619,0.10053772568404,2015,1
G1,91,1.27900140830151,0.115425890561938,2015,1
G1,92,0.939439876252942,0.100956061851077,2015,1
G1,93,0.364980419236732,0.0814982045113036,2015,3
G1,94,0.543467407017684,0.0878112913936842,2015,3
G1,95,0.34673401682248,0.0829995262306195,2015,3
G1,96,0.922574298765354,0.10221803911132,2015,3
G1,97,0.497394923578767,0.0887127744063931,2015,3
G1,98,0.939511403195125,0.0981582595852669,2015,4
G1,99,0.215926341283339,0.0801413457850507,2015,4
G1,100,0.852552413754678,0.0970303596224373,2015,4
G1,101,0.680116978808277,0.0905732572307998,2015,4
G1,102,0.770943673708781,0.0963555852807241,2015,4
H1,103,0.99360193452008,0.197094803263924,2015,2
H2,104,0.830466141543246,0.0977642900532754,2008,2
H2,105,0.948223419078389,0.0993596009442408,2008,2
H2,106,0.381740694582961,0.0933057909947158,2008,2
H2,107,-0.25081898935811,0.089685506744556,2008,2
J1,108,1.06806647384814,0.0955454756652663,2014,1
J1,109,0.669985341046403,0.0765746804374953,2014,1
J1,110,1.30219822906199,0.107650927545419,2014,3
J1,111,0.7841841112116,0.0802101669174239,2014,3
K1,112,-0.450380236426729,0.0939546775079582,2019,2
K1,113,-1.43672871548341,0.141697860056652,2019,2
K1,114,0.348524994619039,0.107266411613972,2019,2
K1,115,-1.060783962133,0.126394172190849,2019,3
K1,116,-1.88761033644366,0.197511108913246,2019,3
K1,117,-0.329231355389367,0.112564550633593,2019,3
K1,118,-0.796155566148342,0.11174300167684,2019,3
K1,119,-1.42715630254402,0.154379660826485,2019,3
K1,120,0.282406758176045,0.104371255126012,2019,3
K2,121,0.161215942790583,0.163998149553131,2018,2
K2,122,0.122666065535386,0.179335475039086,2018,2
K2,123,0.710722343601203,0.21378658224393,2018,2
K3,124,0.856788205075705,0.0776182169615898,2014,1
K3,125,1.30684943190469,0.0940064799368151,2014,1
K3,126,0.941233398763545,0.0795843981274918,2014,4
K3,127,1.27431587436144,0.0917870066730642,2014,4
